wc_id,parent_sku,product_name,product_type,categories,tags,description_plain,short_description_plain,bullet_1,bullet_2,bullet_3,bullet_4,bullet_5,search_terms,price,regular_price,weight,dimensions,image_1,image_2,image_3,image_4,image_5,size_options,variation_skus,variation_prices,sun_requirements,planting_depth,delivery_time,wc_url
464558,W-TRDA,Fakahatchee Grass (Eastern Gamagrass),variable,"All Seed, Florida Seeds, Pasture Seed",new,"Fakahatchee Grass is one of the most iconic native grasses of Florida and the southeastern United States. Also known as Eastern Gamagrass, this warm-season perennial forms dense, arching clumps of bright green foliage that bring year-round structure and movement to your landscape. In subtropical climates, it stays evergreen — making it one of the few native grasses that looks great in every season.
Unlike non-native ornamental grasses, Fakahatchee Grass supports local ecosystems. Its seeds feed songbirds, quail, and wild turkeys. The dense clumps provide shelter for small mammals, reptiles, and ground-nesting birds. It serves as a larval host for the Byssus Skipper butterfly, and its inconspicuous flower spikes attract native pollinators throughout late spring and summer.
Native to Florida, the Gulf Coast, and much of the eastern U.S. from Texas to Connecticut. Thrives in full sun to partial shade and tolerates a wide range of soil moisture — from well-drained uplands to seasonally flooded sites. Once established, it is moderately drought tolerant and requires almost no maintenance. Hardy in USDA Zones 5–11, with best performance in Zones 8–11. Direct sow in spring after last frost, or cold-stratify seed at 35–40°F for 6–10 weeks before planting for best germination.","Fakahatchee Grass (Tripsacum dactyloides) is a striking native perennial grass that forms dense, arching clumps up to 5–6 ft tall. Hardy in Zones 5–11, it thrives in sun to part shade and wet to dry soils — ideal for Florida-friendly landscapes, rain gardens, and native habitat restoration.","Fakahatchee Grass is one of the most iconic native grasses of Florida and the southeastern United States. Also known as Eastern Gamagrass, this warm-season perennial forms dense, arching clumps of bright green foliage that bring year-round structure and movement to your landscape. In subtropical climates, it stays evergreen — making it one of the few native grasses that looks great in every season.","Unlike non-native ornamental grasses, Fakahatchee Grass supports local ecosystems. Its seeds feed songbirds, quail, and wild turkeys. The dense clumps provide shelter for small mammals, reptiles, and ground-nesting birds. It serves as a larval host for the Byssus Skipper butterfly, and its inconspicuous flower spikes attract native pollinators throughout late spring and summer.","Native to Florida, the Gulf Coast, and much of the eastern U.S. from Texas to Connecticut. Thrives in full sun to partial shade and tolerates a wide range of soil moisture — from well-drained uplands to seasonally flooded sites. Once established, it is moderately drought tolerant and requires almost no maintenance. Hardy in USDA Zones 5–11, with best performance in Zones 8–11. Direct sow in spring after last frost, or cold-stratify seed at 35–40°F for 6–10 weeks before planting for best germination.",,,"florida seeds, pasture seed",16.99,,,xx,https://naturesseed.com/wp-content/uploads/2026/03/Fakahatchee-Grass.webp,https://naturesseed.com/wp-content/uploads/2023/08/bag5_6.png,,,,"0.25 lb - Covers 500 Sq Ft | 0.5 lb - Covers 1,000 Sq Ft | 1 lb - Covers 2,000 Sq Ft",W-TRDA-1-LB-KIT | W-TRDA-0.5-LB-KIT | W-TRDA-0.25-LB,$55.24 | $29.69 | $16.99,Full Sun to Partial Shade,1/2 to 3/4 inch,15,https://naturesseed.com/products/pasture-seed/fakahatchee-grass-eastern-gamagrass/
462219,W-LUTE,Texas Bluebonnet Seeds,variable,"Native Wildflower Seed &amp; Seed Mixes, Texas Native Grass &amp; Wildflower Seed",new,"Texas Bluebonnet (Lupinus texensis) is the official state flower of Texas and one of the most iconic wildflowers in North America. Each spring, Bluebonnets transform roadsides, meadows, and home gardens into seas of brilliant blue-purple color — a defining image of the Texas Hill Country and one that every Texan recognizes from childhood.
Beyond their beauty, Bluebonnets are a native legume that enriches the soil with nitrogen and provides early-season nectar for native bees and other pollinators. They reseed naturally when allowed to set seed, building a self-sustaining colony over time. Once established in the right conditions, a Bluebonnet planting comes back reliably each year with minimal care.
For best results in Texas and surrounding states, sow in fall (September–November) into a prepared, well-draining seedbed. Scarify seed before planting or purchase pre-scarified. Our 1 lb bag covers up to 200–300 sq ft in garden applications. Seed you can trust — from a team that knows Texas wildflowers.",Texas Bluebonnet (Lupinus texensis) — the official Texas state flower. Pre-scarified seed for reliable germination. Fall-planted winter annual that reseeds year after year.,"Texas Bluebonnet (Lupinus texensis) is the official state flower of Texas and one of the most iconic wildflowers in North America. Each spring, Bluebonnets transform roadsides, meadows, and home gardens into seas of brilliant blue-purple color — a defining image of the Texas Hill Country and one that every Texan recognizes from childhood.","Beyond their beauty, Bluebonnets are a native legume that enriches the soil with nitrogen and provides early-season nectar for native bees and other pollinators. They reseed naturally when allowed to set seed, building a self-sustaining colony over time. Once established in the right conditions, a Bluebonnet planting comes back reliably each year with minimal care.","For best results in Texas and surrounding states, sow in fall (September–November) into a prepared, well-draining seedbed. Scarify seed before planting or purchase pre-scarified. Our 1 lb bag covers up to 200–300 sq ft in garden applications. Seed you can trust — from a team that knows Texas wildflowers.",,,"texas native grass &amp; wildflower seed, native wildflower seed &amp; seed mixes",38.99,,,xx,https://naturesseed.com/wp-content/uploads/2026/02/TexasBluebonnet.webp,https://naturesseed.com/wp-content/uploads/2023/08/bag5_6.png,,,,0.25 lb | 0.5 lb | 1 lb,W-LUTE-1-LB-KIT | W-LUTE-0.5-LB-KIT | W-LUTE-0.25-LB,$131.74 | $70.19 | $38.99,Full Sun (6–8+ hours),⅛–¼ inch,7,https://naturesseed.com/products/wildflower-seed/texas-bluebonnet-seeds/
462220,WB-TEXN,Texas Native Wildflower Mix,variable,Texas Native Grass &amp; Wildflower Seed,new,,8-species native wildflower blend anchored by Texas Bluebonnet at 22%. Covers March through October with native annuals and perennials adapted to Texas soils.,,,,,,texas native grass &amp; wildflower seed,32.99,,,xx,https://naturesseed.com/wp-content/uploads/2026/02/Texas-Native-Wildflower-Mix.webp,https://naturesseed.com/wp-content/uploads/2023/08/bag5_6.png,,,,0.5 lb | 1 lb | 5 lb,WB-TEXN-5-LB-KIT | WB-TEXN-1-LB-KIT | WB-TEXN-0.5-LB,$275.39 | $58.49 | $32.99,Full Sun (6-8+ hours),Surface to 1/4 inch max (seeds need light),7,https://naturesseed.com/products/wildflower-seed/texas-native-wildflower-mix/
462222,TURF-TXN,Texas Native Lawn Mix,variable,"Drought-Tolerant Seed, Lawn Seed, Southern Lawn, Texas Native Grass &amp; Wildflower Seed",new,,3-species native grass blend dominated by Buffalograss at 70%. Uses 30-40% less water than Bermuda. Built for Central and West Texas alkaline soils.,,,,,,"lawn seed, texas native grass &amp; wildflower seed, drought-tolerant seed, southern lawn",164.99,,,xx,https://naturesseed.com/wp-content/uploads/2026/02/Texas-Native-Lawn-Mix.webp,https://naturesseed.com/wp-content/uploads/2026/02/LawnbagsTWCA.webp,,,,5 lb | 10 lb | 25 lb,TURF-TXN-25-LB-KIT | TURF-TXN-10-LB-KIT | TURF-TXN-5-LB,$699.54 | $296.09 | $164.99,Full Sun (8+ hours),1/4 to 1/2 inch,7,https://naturesseed.com/products/grass-seed/texas-native-lawn-mix/
462221,WB-TXPB,Texas Pollinator Wildflower Mix,variable,"Native Wildflower Seed &amp; Seed Mixes, Texas Native Grass &amp; Wildflower Seed",new,,"8-species native pollinator blend with Milkweed for Monarchs, Liatris for native bees, and Scarlet Sage for hummingbirds. Blooms March through October.",,,,,,"texas native grass &amp; wildflower seed, native wildflower seed &amp; seed mixes",33.99,,,xx,https://naturesseed.com/wp-content/uploads/2026/02/Texas-Pollinator-Wildflower-Mix.webp,https://naturesseed.com/wp-content/uploads/2023/08/bag5_6.png,,,,0.5 lb | 1 lb | 5 lb,WB-TXPB-5-LB-KIT | WB-TXPB-1-LB-KIT | WB-TXPB-0.5-LB,$286.44 | $61.19 | $33.99,Full Sun (6-8+ hours),Surface to 1/4 inch max (seeds need light),7,https://naturesseed.com/products/wildflower-seed/texas-pollinator-wildflower-mix/
462260,W-OESP,Mexican Primrose (Pinkladies),variable,Texas Native Grass &amp; Wildflower Seed,new,,Pink Evening Primrose (Oenothera speciosa) — the iconic Texas pink roadside wildflower. Native perennial that creates carpets of pink blooms April through October. Drought-proof once established.,,,,,,texas native grass &amp; wildflower seed,13.99,,,xx,https://naturesseed.com/wp-content/uploads/2026/02/Mexican-Primrose-pinkladies.webp,https://naturesseed.com/wp-content/uploads/2023/08/bag5_6.png,,,,0.25 lb | 0.5 lb | 1 lb,W-OESP-1-LB-KIT | W-OESP-0.5-LB-KIT | W-OESP-0.25-LB,$46.74 | $25.19 | $13.99,Full Sun (6+ hours),Surface sow only — do not cover (light required for germination),7,https://naturesseed.com/products/wildflower-seed/pink-evening-primrose-seeds/
462223,PB-TXPR,Texas Native Pasture Prairie Mix,variable,"Drought-Tolerant Seed, Food Plot Seed, Pasture Seed, Texas Native Grass &amp; Wildflower Seed",new,,"8-species native grass and wildflower blend anchored by Sideoats Grama at 35% and Little Bluestem at 25%. Built for rangeland restoration, conservation programs, and livestock pasture.
Livestock Suitability: Excellent for cattle and horses — 85% native warm-season grasses provide high-quality summer forage with heavy grazing tolerance. Good for goats. Use caution with sheep — Texas Bluebonnet (5% of mix) is a lupine species; avoid grazing sheep on young stands where wildflowers dominate. Bloat r",,,,,,"pasture seed, texas native grass &amp; wildflower seed, food plot seed, drought-tolerant seed",214.99,,,xx,https://naturesseed.com/wp-content/uploads/2026/02/Texas-Native-Prairie-Mix.webp,https://naturesseed.com/wp-content/uploads/2025/05/NS-Conservation-Seed-Large-bag-700x700-1.jpg,,,,10 lb | 20 lb | 50 lb,PB-TXPR-50-LB-KIT | PB-TXPR-20-LB-KIT | PB-TXPR-10-LB,$912.89 | $386.99 | $214.99,Full Sun (8+ hours),1/4 to 1/2 inch (grasses); surface to 1/4 inch (wildflowers),7,https://naturesseed.com/products/pasture-seed/texas-native-prairie-mix/
462264,W-PHDR,Drummond Phlox Seeds,variable,"Native Wildflower Seed &amp; Seed Mixes, Texas Native Grass &amp; Wildflower Seed",new,,"Drummond Phlox (Phlox drummondii) — the only annual phlox native to Texas. Multicolor blooms in red, pink, purple, and white from March through May. Perfect bluebonnet companion.",,,,,,"texas native grass &amp; wildflower seed, native wildflower seed &amp; seed mixes",10.99,,,xx,https://naturesseed.com/wp-content/uploads/2026/02/Drummond-Phlox-Seeds.webp,https://naturesseed.com/wp-content/uploads/2025/07/WildflowerBag-2.png,,,,0.25 lb | 0.5 lb | 1 lb,W-PHDR-1-LB-KIT | W-PHDR-0.5-LB-KIT | W-PHDR-0.25-LB,$35.69 | $18.89 | $10.99,Full Sun to Partial Shade (6+ hours),Just below surface (1/16 to 1/8 inch) — darkness required for germination,7,https://naturesseed.com/products/wildflower-seed/drummond-phlox-seeds/
462294,W-COLA,Lanceleaf Tickseed (Coreopsis),variable,"All Seed, Florida Seeds, Native Wildflower Seed &amp; Seed Mixes",new,,Lanceleaf Coreopsis (Coreopsis lanceolata) — Florida’s state wildflower genus. Drought-tolerant perennial with bright yellow blooms. Thrives in sandy soil. Zones 3-8.,,,,,,"florida seeds, native wildflower seed &amp; seed mixes",5.99,,,xx,https://naturesseed.com/wp-content/uploads/2026/02/Lance-leaved-Coreopsis.webp,https://naturesseed.com/wp-content/uploads/2023/08/bag5_3.png,,,,"0.25 lb - Covers 500 Sq Ft | 0.5 lb - Covers 1,000 Sq Ft | 1 lb - Covers 2,000 Sq Ft",W-COLA-1-LB-KIT | W-COLA-0.5-LB-KIT | W-COLA-0.25-LB,$20.39 | $10.79 | $5.99,Full Sun (6+ hours),Surface sow to 1/8 inch max (light required for germination),15,https://naturesseed.com/products/wildflower-seed/lanceleaf-coreopsis-seeds/
462289,WB-FLCO,Florida Coastal Native Wildflower Mix,variable,"All Seed, Florida Seeds, Native Wildflower Seed &amp; Seed Mixes",new,,"Focused 3-species coastal wildflower blend — Blanket Flower, Lanceleaf Coreopsis, and Spotted Beebalm. Built for Florida’s toughest sandy, coastal conditions. Zero filler.",,,,,,"florida seeds, native wildflower seed &amp; seed mixes",11.99,,,xx,https://naturesseed.com/wp-content/uploads/2026/02/FloridaCoastalWildflowerMix.webp,https://naturesseed.com/wp-content/uploads/2023/08/bag5_6.png,,,,"0.5 lb - Covers 1,000 Sq Ft | 1 lb - Covers 2,000 Sq Ft | 5 lb - Covers 10,000 Sq Ft",WB-FLCO-5-LB-KIT | WB-FLCO-1-LB-KIT | WB-FLCO-0.5-LB,$101.14 | $21.59 | $11.99,Full Sun (6+ hours),Surface to 1/4 inch (seeds need light),15,https://naturesseed.com/products/wildflower-seed/florida-coastal-native-mix/
