sku,product_name,quality_score,gaps,api_limitations,unpublished_reasons,will_activate,activation_attempted
PG-BUCK-5-LB,"Buckwheat Seed - 5 lb - Covers 20,000 Sq Ft",45,none,images; description; brand; bullets,"Your item is in Stage status until you go live. Once you go live, your item will be published.",True,True
PG-TRRE-10-LB-KIT,"White Clover Seed - 10 lb - Covers 20,000 Sq Ft",45,none,images; description; brand; bullets,"Your item is in Stage status until you go live. Once you go live, your item will be published.",False,False
W-ACLA-0.5-LB-KIT,"Western Yarrow Seed - 0.5 lb - Covers 2,000 Sq Ft",45,none,images; description; brand; bullets,"Your item is in Stage status until you go live. Once you go live, your item will be published.",False,False
PG-MESA-25-LB-KIT,"Alfalfa Seed - 25 lb - Covers 50,000 Sq Ft",45,none,images; description; brand; bullets,"Your item is in Stage status until you go live. Once you go live, your item will be published.",False,False
PG-MESA-5-LB,"Alfalfa Seed - 5 lb - Covers 10,000 Sq Ft",45,none,images; description; brand; bullets,"Your item is in Stage status until you go live. Once you go live, your item will be published.",True,True
PB-CHM-5-LB,"California Habitat Mix - 5 lb - Covers 20,000 Sq Ft",70,none,images; description; brand; bullets,"Your item is in Stage status until you go live. Once you go live, your item will be published.",False,False
CV-CNEC-5-LB,"California Native Erosion Control Mix - 5 Lbs - 20,000 Sq Ft",70,none,images; description; brand; bullets,"Your item is in Stage status until you go live. Once you go live, your item will be published.",True,True
PB-HRSE-TR-50-LB-KIT,"Transitional Zone Horse Pasture Mix - 50 lb - Covers 100,000 Sq Ft",70,none,images; description; brand; bullets,"Your item is in Stage status until you go live. Once you go live, your item will be published.",False,False
PB-CLV-10-LB,"Pasture Clover Mix for Waterfowl Food Plots - 10 Lbs - 10,000 Sq Ft",70,none,images; description; brand; bullets,"Your item is in Stage status until you go live. Once you go live, your item will be published.",False,False
PB-MUST-50-LB-KIT,"Mustard Biofumigant Blend Cover Crop Seed Mix - 20 Lbs - 10,000 Sq Ft",70,none,images; description; brand; bullets,"Your item is in Stage status until you go live. Once you go live, your item will be published.",,False
PB-COSS-2-LB-KIT,"Coastal California Sage Scrub Mix - 2 lb - Covers 8,000 Sq Ft",70,none,images; description; brand; bullets,"Your item is in Stage status until you go live. Once you go live, your item will be published.",True,True
PB-CLV-50-LB-KIT,"Pasture Clover Mix for Waterfowl Food Plots - 50 Lbs - 50,000 Sq Ft",70,none,images; description; brand; bullets,"Your item is in Stage status until you go live. Once you go live, your item will be published.",,False
WB-CCN-1-LB-KIT,"Coastal California Wildflower Seed Mix - 1 lb - Covers 2,000 Sq Ft",70,none,images; description; brand; bullets,"Your item is in Stage status until you go live. Once you go live, your item will be published.",True,True
S-DUTCH-5-LB,"White Dutch Clover Seed - 5 lb - Covers 10,000 Sq Ft",70,none,images; description; brand; bullets,"Your item is in Stage status until you go live. Once you go live, your item will be published.",True,True
WB-AN-5-LB-KIT,"Annual Wildflower Seed Mix - 5 lb - Covers 5,000 Sq Ft",70,none,images; description; brand; bullets,"Your item is in Stage status until you go live. Once you go live, your item will be published.",True,True
TURF-BERM-25-LB-KIT,"Bermuda Grass Seed Mix for Lawns - 25 lb - Covers 5,000 Sq Ft",90,none,images; description; brand; bullets,"Your item is in Stage status until you go live. Once you go live, your item will be published.",,False
S-FEOV-25-LB-KIT,"Sheep Fescue Grass Seed - 25 lb - Covers 5,000 Sq Ft",90,none,images; description; brand; bullets,"Your item is in Stage status until you go live. Once you go live, your item will be published.",False,False
