"id","mpn","Title","description","availability","availability date","expiration date","link","mobile link","image link","price","sale price","sale price effective date","identifier exists","gtin","brand","product highlight","product detail","additional image link","condition","adult","color","size","size type","size system","gender","material","pattern","age group","multipack","is bundle","shipping_weight","unit pricing measure","unit pricing base measure","energy efficiency class","min energy efficiency class","min energy efficiency class","item group id","sell on google quantity","Custom label 0","Custom label 1","Custom label 2","Custom label 3","Custom label 4","Google product category","Product Type","cost_of_goods_sold"
"gla_462924","W-LUTE-0.25-LB","Texas Bluebonnet Seeds - Native Texas Wildflower - 0.25 lb, Covers 500 sq ft | Nature's Seed","Bring the iconic Texas spring to your landscape with Texas Bluebonnet Seeds (Lupinus texensis) from Nature's Seed. The official Texas state flower, bluebonnets transform fields and roadsides into breathtaking blue-violet displays each spring.

Why you'll love Texas Bluebonnets
Authentic Texas heritage wildflower with deep blue-violet blooms tipped in white
Easy fall planting produces stunning spring color from March through May
Native legume fixes nitrogen and improves soil health naturally
Drought-tolerant once established, thriving in lean, well-drained Texas soils
Self-seeding perennial returns year after year with minimal effort
Attracts pollinators including native bees, butterflies, and hummingbirds

Perfect for meadows, roadside plantings, open fields, and native landscapes across USDA Zones 4-9. Plant in fall for best results. Scarify seeds before sowing for faster germination.","in_stock","","","https://naturesseed.com/products/wildflower-seed/texas-bluebonnet-seeds/?variation_id=462924&attribute_size=0.25+lb+-+Covers+500+Sq+Ft","","https://naturesseed.com/wp-content/uploads/2026/02/TexasBluebonnet.webp","38.99 USD","","","yes","840184629518","Nature's Seed","""Iconic Texas state flower with stunning blue-violet spring blooms"",""Native legume that fixes nitrogen and naturally improves soil health"",""Drought-tolerant wildflower adapted to lean, well-drained Texas soils"",""Self-seeding perennial returns reliably year after year with minimal care"",""Fall planting produces vibrant spring color from March through May"",""Attracts essential pollinators including bees, butterflies, and hummingbirds""",":Seed type:Single species,:Native species:Yes,:Region:Texas,:Sun requirement:Full sun,:Coverage area:500 sq ft","https://naturesseed.com/wp-content/uploads/2025/07/WildflowerBag-2.png","new","no","","","","","","","","","","no","0.25 lb","0.25 lb","1 lb","","","","NS_0103","100","wildflower","Texas","<50","High Margin","","Home & Garden > Plants > Seeds > Seeds & Seed Tape","Wildflower Seeds > Single Species Wildflower","15.48 USD"
"gla_462925","W-LUTE-0.5-LB-KIT","Texas Bluebonnet Seeds - Native Texas Wildflower - 0.5 lb, Covers 1,000 sq ft | Nature's Seed","Bring the iconic Texas spring to your landscape with Texas Bluebonnet Seeds (Lupinus texensis) from Nature's Seed. The official Texas state flower, bluebonnets transform fields and roadsides into breathtaking blue-violet displays each spring.

Why you'll love Texas Bluebonnets
Authentic Texas heritage wildflower with deep blue-violet blooms tipped in white
Easy fall planting produces stunning spring color from March through May
Native legume fixes nitrogen and improves soil health naturally
Drought-tolerant once established, thriving in lean, well-drained Texas soils
Self-seeding perennial returns year after year with minimal effort
Attracts pollinators including native bees, butterflies, and hummingbirds

Perfect for meadows, roadside plantings, open fields, and native landscapes across USDA Zones 4-9. Plant in fall for best results. Scarify seeds before sowing for faster germination.","in_stock","","","https://naturesseed.com/products/wildflower-seed/texas-bluebonnet-seeds/?variation_id=462925&attribute_size=0.5+lb+-+Covers+1%2C000+Sq+Ft","","https://naturesseed.com/wp-content/uploads/2026/02/TexasBluebonnet.webp","70.19 USD","","","yes","840184629518","Nature's Seed","""Iconic Texas state flower with stunning blue-violet spring blooms"",""Native legume that fixes nitrogen and naturally improves soil health"",""Drought-tolerant wildflower adapted to lean, well-drained Texas soils"",""Self-seeding perennial returns reliably year after year with minimal care"",""Fall planting produces vibrant spring color from March through May"",""Attracts essential pollinators including bees, butterflies, and hummingbirds""",":Seed type:Single species,:Native species:Yes,:Region:Texas,:Sun requirement:Full sun,:Coverage area:1000 sq ft","https://naturesseed.com/wp-content/uploads/2025/07/WildflowerBag-2.png","new","no","","","","","","","","","2","no","0.5 lb","0.25 lb","1 lb","","","","NS_0103","100","wildflower","Texas","50-100","High Margin","","Home & Garden > Plants > Seeds > Seeds & Seed Tape","Wildflower Seeds > Single Species Wildflower","30.96 USD"
"gla_462926","W-LUTE-1-LB-KIT","Texas Bluebonnet Seeds - Native Texas Wildflower - 1 lb, Covers 2,000 sq ft | Nature's Seed","Bring the iconic Texas spring to your landscape with Texas Bluebonnet Seeds (Lupinus texensis) from Nature's Seed. The official Texas state flower, bluebonnets transform fields and roadsides into breathtaking blue-violet displays each spring.

Why you'll love Texas Bluebonnets
Authentic Texas heritage wildflower with deep blue-violet blooms tipped in white
Easy fall planting produces stunning spring color from March through May
Native legume fixes nitrogen and improves soil health naturally
Drought-tolerant once established, thriving in lean, well-drained Texas soils
Self-seeding perennial returns year after year with minimal effort
Attracts pollinators including native bees, butterflies, and hummingbirds

Perfect for meadows, roadside plantings, open fields, and native landscapes across USDA Zones 4-9. Plant in fall for best results. Scarify seeds before sowing for faster germination.","in_stock","","","https://naturesseed.com/products/wildflower-seed/texas-bluebonnet-seeds/?variation_id=462926&attribute_size=1+lb+-+Covers+2%2C000+Sq+Ft","","https://naturesseed.com/wp-content/uploads/2026/02/TexasBluebonnet.webp","131.74 USD","","","yes","840184629518","Nature's Seed","""Iconic Texas state flower with stunning blue-violet spring blooms"",""Native legume that fixes nitrogen and naturally improves soil health"",""Drought-tolerant wildflower adapted to lean, well-drained Texas soils"",""Self-seeding perennial returns reliably year after year with minimal care"",""Fall planting produces vibrant spring color from March through May"",""Attracts essential pollinators including bees, butterflies, and hummingbirds""",":Seed type:Single species,:Native species:Yes,:Region:Texas,:Sun requirement:Full sun,:Coverage area:2000 sq ft","https://naturesseed.com/wp-content/uploads/2025/07/WildflowerBag-2.png","new","no","","","","","","","","","4","no","1 lb","0.25 lb","1 lb","","","","NS_0103","100","wildflower","Texas","100-150","High Margin","","Home & Garden > Plants > Seeds > Seeds & Seed Tape","Wildflower Seeds > Single Species Wildflower","61.91 USD"
"gla_462885","WB-TEXN-0.5-LB","Texas Native Wildflower Mix - 8-Species Native Blend - 0.5 lb, Covers 1,000 sq ft | Nature's Seed","Create a vibrant Texas wildflower meadow with the Texas Native Wildflower Mix from Nature's Seed. This expertly blended 8-species mix features Texas Bluebonnet, Indian Paintbrush, and six additional native species selected for continuous color from March through October.

Why you'll love this mix
Authentic 8-species Texas native blend with Bluebonnet at 22% of the mix
Season-long color from spring through fall with staggered bloom times
Adapted to Texas soils and climate for reliable establishment
Drought-tolerant native species require minimal irrigation once established
Supports Texas pollinators including monarch butterflies and native bees
Simple scatter-sow planting makes it easy to establish even on large areas

Ideal for meadows, roadsides, ranch entries, and restoration projects across Texas. Plant in fall for best spring color. Thrives in full sun with well-drained soil.","in_stock","","","https://naturesseed.com/products/wildflower-seed/texas-native-wildflower-mix/?variation_id=462885&attribute_size=0.5+lb+-+Covers+1%2C000+Sq+Ft","","https://naturesseed.com/wp-content/uploads/2026/02/Texas-Native-Wildflower-Mix.webp","32.99 USD","","","yes","840184629495","Nature's Seed","""8-species native Texas wildflower blend with Bluebonnet as the dominant species"",""Season-long color from March through October with staggered bloom times"",""Drought-tolerant native species adapted to Texas soils and climate"",""Attracts and supports pollinators including monarch butterflies and bees"",""Simple scatter-sow planting for easy establishment on any scale"",""Ideal for meadows, ranch entries, roadsides, and restoration projects""",":Seed type:Seed mix,:Native species:Yes,:Region:Texas,:Sun requirement:Full sun,:Coverage area:1000 sq ft","https://naturesseed.com/wp-content/uploads/2025/07/WildflowerBag-2.png","new","no","","","","","","","","","","no","0.5 lb","0.5 lb","1 lb","","","","NS_0104","100","wildflower","Texas","<50","High Margin","","Home & Garden > Plants > Seeds > Seeds & Seed Tape","Wildflower Seeds > Regional Wildflower Mixes > Texas Wildflower Mix","12.95 USD"
"gla_462886","WB-TEXN-1-LB-KIT","Texas Native Wildflower Mix - 8-Species Native Blend - 1 lb, Covers 2,000 sq ft | Nature's Seed","Create a vibrant Texas wildflower meadow with the Texas Native Wildflower Mix from Nature's Seed. This expertly blended 8-species mix features Texas Bluebonnet, Indian Paintbrush, and six additional native species selected for continuous color from March through October.

Why you'll love this mix
Authentic 8-species Texas native blend with Bluebonnet at 22% of the mix
Season-long color from spring through fall with staggered bloom times
Adapted to Texas soils and climate for reliable establishment
Drought-tolerant native species require minimal irrigation once established
Supports Texas pollinators including monarch butterflies and native bees
Simple scatter-sow planting makes it easy to establish even on large areas

Ideal for meadows, roadsides, ranch entries, and restoration projects across Texas. Plant in fall for best spring color. Thrives in full sun with well-drained soil.","in_stock","","","https://naturesseed.com/products/wildflower-seed/texas-native-wildflower-mix/?variation_id=462886&attribute_size=1+lb+-+Covers+2%2C000+Sq+Ft","","https://naturesseed.com/wp-content/uploads/2026/02/Texas-Native-Wildflower-Mix.webp","58.49 USD","","","yes","840184629495","Nature's Seed","""8-species native Texas wildflower blend with Bluebonnet as the dominant species"",""Season-long color from March through October with staggered bloom times"",""Drought-tolerant native species adapted to Texas soils and climate"",""Attracts and supports pollinators including monarch butterflies and bees"",""Simple scatter-sow planting for easy establishment on any scale"",""Ideal for meadows, ranch entries, roadsides, and restoration projects""",":Seed type:Seed mix,:Native species:Yes,:Region:Texas,:Sun requirement:Full sun,:Coverage area:2000 sq ft","https://naturesseed.com/wp-content/uploads/2025/07/WildflowerBag-2.png","new","no","","","","","","","","","2","no","1 lb","0.5 lb","1 lb","","","","NS_0104","100","wildflower","Texas","50-100","High Margin","","Home & Garden > Plants > Seeds > Seeds & Seed Tape","Wildflower Seeds > Regional Wildflower Mixes > Texas Wildflower Mix","25.89 USD"
"gla_462887","WB-TEXN-5-LB-KIT","Texas Native Wildflower Mix - 8-Species Native Blend - 5 lb, Covers 10,000 sq ft | Nature's Seed","Create a vibrant Texas wildflower meadow with the Texas Native Wildflower Mix from Nature's Seed. This expertly blended 8-species mix features Texas Bluebonnet, Indian Paintbrush, and six additional native species selected for continuous color from March through October.

Why you'll love this mix
Authentic 8-species Texas native blend with Bluebonnet at 22% of the mix
Season-long color from spring through fall with staggered bloom times
Adapted to Texas soils and climate for reliable establishment
Drought-tolerant native species require minimal irrigation once established
Supports Texas pollinators including monarch butterflies and native bees
Simple scatter-sow planting makes it easy to establish even on large areas

Ideal for meadows, roadsides, ranch entries, and restoration projects across Texas. Plant in fall for best spring color. Thrives in full sun with well-drained soil.","in_stock","","","https://naturesseed.com/products/wildflower-seed/texas-native-wildflower-mix/?variation_id=462887&attribute_size=5+lb+-+Covers+10%2C000+Sq+Ft","","https://naturesseed.com/wp-content/uploads/2026/02/Texas-Native-Wildflower-Mix.webp","275.39 USD","","","yes","840184629495","Nature's Seed","""8-species native Texas wildflower blend with Bluebonnet as the dominant species"",""Season-long color from March through October with staggered bloom times"",""Drought-tolerant native species adapted to Texas soils and climate"",""Attracts and supports pollinators including monarch butterflies and bees"",""Simple scatter-sow planting for easy establishment on any scale"",""Ideal for meadows, ranch entries, roadsides, and restoration projects""",":Seed type:Seed mix,:Native species:Yes,:Region:Texas,:Sun requirement:Full sun,:Coverage area:10000 sq ft","https://naturesseed.com/wp-content/uploads/2025/07/WildflowerBag-2.png","new","no","","","","","","","","","10","no","5 lb","0.5 lb","1 lb","","","","NS_0104","100","wildflower","Texas",">200","High Margin","","Home & Garden > Plants > Seeds > Seeds & Seed Tape","Wildflower Seeds > Regional Wildflower Mixes > Texas Wildflower Mix","129.45 USD"
"gla_462888","WB-TXPB-0.5-LB","Texas Pollinator Wildflower Mix - Bee & Butterfly Habitat Blend - 0.5 lb, Covers 1,000 sq ft | Nature's Seed","Support Texas pollinators with the Texas Pollinator Wildflower Mix from Nature's Seed. This specially formulated blend combines native Texas wildflowers selected for maximum nectar and pollen production, providing critical food sources for bees, butterflies, and hummingbirds throughout the growing season.

Why you'll love this mix
Native Texas species selected specifically for pollinator support
Extended bloom period provides nectar from early spring through fall
Supports honeybees, native bees, monarch butterflies, and hummingbirds
Drought-tolerant once established for low-maintenance pollinator habitat
Adapted to Texas heat, alkaline soils, and low-rainfall conditions
Scatter-sow planting method makes establishment simple

Perfect for pollinator gardens, meadows, conservation areas, and property borders. Contributes to monarch butterfly corridor and native bee habitat restoration across Texas.","in_stock","","","https://naturesseed.com/products/wildflower-seed/texas-pollinator-wildflower-mix/?variation_id=462888&attribute_size=0.5+lb+-+Covers+1%2C000+Sq+Ft","","https://naturesseed.com/wp-content/uploads/2026/02/Texas-Pollinator-Wildflower-Mix.webp","33.99 USD","","","yes","840184629501","Nature's Seed","""Native Texas wildflower blend formulated specifically for pollinator support"",""Extended bloom period provides nectar from spring through fall"",""Supports honeybees, native bees, monarch butterflies, and hummingbirds"",""Drought-tolerant species adapted to Texas heat and alkaline soils"",""Contributes to monarch butterfly corridor and native bee habitat restoration"",""Easy scatter-sow planting for simple establishment at any scale""",":Seed type:Seed mix,:Native species:Yes,:Region:Texas,:Sun requirement:Full sun,:Use case:Pollinator habitat,:Coverage area:1000 sq ft","https://naturesseed.com/wp-content/uploads/2025/07/WildflowerBag-2.png","new","no","","","","","","","","","","no","0.5 lb","0.5 lb","1 lb","","","","NS_0105","100","wildflower","Texas","<50","High Margin","","Home & Garden > Plants > Seeds > Seeds & Seed Tape","Wildflower Seeds > Regional Wildflower Mixes > Texas Wildflower Mix","13.47 USD"
"gla_462889","WB-TXPB-1-LB-KIT","Texas Pollinator Wildflower Mix - Bee & Butterfly Habitat Blend - 1 lb, Covers 2,000 sq ft | Nature's Seed","Support Texas pollinators with the Texas Pollinator Wildflower Mix from Nature's Seed. This specially formulated blend combines native Texas wildflowers selected for maximum nectar and pollen production, providing critical food sources for bees, butterflies, and hummingbirds throughout the growing season.

Why you'll love this mix
Native Texas species selected specifically for pollinator support
Extended bloom period provides nectar from early spring through fall
Supports honeybees, native bees, monarch butterflies, and hummingbirds
Drought-tolerant once established for low-maintenance pollinator habitat
Adapted to Texas heat, alkaline soils, and low-rainfall conditions
Scatter-sow planting method makes establishment simple

Perfect for pollinator gardens, meadows, conservation areas, and property borders. Contributes to monarch butterfly corridor and native bee habitat restoration across Texas.","in_stock","","","https://naturesseed.com/products/wildflower-seed/texas-pollinator-wildflower-mix/?variation_id=462889&attribute_size=1+lb+-+Covers+2%2C000+Sq+Ft","","https://naturesseed.com/wp-content/uploads/2026/02/Texas-Pollinator-Wildflower-Mix.webp","61.19 USD","","","yes","840184629501","Nature's Seed","""Native Texas wildflower blend formulated specifically for pollinator support"",""Extended bloom period provides nectar from spring through fall"",""Supports honeybees, native bees, monarch butterflies, and hummingbirds"",""Drought-tolerant species adapted to Texas heat and alkaline soils"",""Contributes to monarch butterfly corridor and native bee habitat restoration"",""Easy scatter-sow planting for simple establishment at any scale""",":Seed type:Seed mix,:Native species:Yes,:Region:Texas,:Sun requirement:Full sun,:Use case:Pollinator habitat,:Coverage area:2000 sq ft","https://naturesseed.com/wp-content/uploads/2025/07/WildflowerBag-2.png","new","no","","","","","","","","","2","no","1 lb","0.5 lb","1 lb","","","","NS_0105","100","wildflower","Texas","50-100","High Margin","","Home & Garden > Plants > Seeds > Seeds & Seed Tape","Wildflower Seeds > Regional Wildflower Mixes > Texas Wildflower Mix","26.94 USD"
"gla_462890","WB-TXPB-5-LB-KIT","Texas Pollinator Wildflower Mix - Bee & Butterfly Habitat Blend - 5 lb, Covers 10,000 sq ft | Nature's Seed","Support Texas pollinators with the Texas Pollinator Wildflower Mix from Nature's Seed. This specially formulated blend combines native Texas wildflowers selected for maximum nectar and pollen production, providing critical food sources for bees, butterflies, and hummingbirds throughout the growing season.

Why you'll love this mix
Native Texas species selected specifically for pollinator support
Extended bloom period provides nectar from early spring through fall
Supports honeybees, native bees, monarch butterflies, and hummingbirds
Drought-tolerant once established for low-maintenance pollinator habitat
Adapted to Texas heat, alkaline soils, and low-rainfall conditions
Scatter-sow planting method makes establishment simple

Perfect for pollinator gardens, meadows, conservation areas, and property borders. Contributes to monarch butterfly corridor and native bee habitat restoration across Texas.","in_stock","","","https://naturesseed.com/products/wildflower-seed/texas-pollinator-wildflower-mix/?variation_id=462890&attribute_size=5+lb+-+Covers+10%2C000+Sq+Ft","","https://naturesseed.com/wp-content/uploads/2026/02/Texas-Pollinator-Wildflower-Mix.webp","286.44 USD","","","yes","840184629501","Nature's Seed","""Native Texas wildflower blend formulated specifically for pollinator support"",""Extended bloom period provides nectar from spring through fall"",""Supports honeybees, native bees, monarch butterflies, and hummingbirds"",""Drought-tolerant species adapted to Texas heat and alkaline soils"",""Contributes to monarch butterfly corridor and native bee habitat restoration"",""Easy scatter-sow planting for simple establishment at any scale""",":Seed type:Seed mix,:Native species:Yes,:Region:Texas,:Sun requirement:Full sun,:Use case:Pollinator habitat,:Coverage area:10000 sq ft","https://naturesseed.com/wp-content/uploads/2025/07/WildflowerBag-2.png","new","no","","","","","","","","","10","no","5 lb","0.5 lb","1 lb","","","","NS_0105","100","wildflower","Texas",">200","High Margin","","Home & Garden > Plants > Seeds > Seeds & Seed Tape","Wildflower Seeds > Regional Wildflower Mixes > Texas Wildflower Mix","134.70 USD"
"gla_462891","TURF-TXN-5-LB","Texas Native Lawn Mix - Low-Water Native Turf Blend - 5 lb, Covers 1,000 sq ft | Nature's Seed","Build a drought-proof Texas lawn with the Texas Native Lawn Mix from Nature's Seed. This 3-species native grass blend is dominated by Buffalograss at 70%, with Blue Grama at 20% and Curly Mesquite at 10%, specifically formulated for Central and West Texas alkaline soils.

Why you'll love this lawn mix
Uses 30-40% less water than Bermuda and other conventional turf grasses
Native 3-species blend built for Texas alkaline soils and extreme heat
Buffalograss-dominant for dense, low-growing turf with excellent wear tolerance
No fertilizer needed once established for truly low-maintenance lawn care
Deep root system survives Texas drought and heat stress naturally
Mow just 2-3 times per season or leave as a natural shortgrass lawn

Ideal for home lawns, commercial landscapes, and municipal turf in USDA Zones 5-9. Plant in late spring when soil temperatures reach 60F or above for best establishment.","in_stock","","","https://naturesseed.com/products/grass-seed/texas-native-lawn-mix/?variation_id=462891&attribute_size=5+lb+-+Covers+1%2C000+Sq+Ft","","https://naturesseed.com/wp-content/uploads/2026/02/Texas-Native-Lawn-Mix.webp","164.99 USD","","","yes","840184629525","Nature's Seed","""3-species native grass blend with 70% Buffalograss for dense, durable turf"",""Uses 30-40% less water than Bermuda and conventional turf grasses"",""Formulated specifically for Central and West Texas alkaline soils"",""No fertilizer required once established for truly low-maintenance care"",""Deep root system withstands Texas drought and extreme summer heat"",""Mow just 2-3 times per season or leave as natural shortgrass lawn""",":Grass type:Native blend,:Growth season:Warm season,:Sun requirement:Full sun,:Drought tolerant:Yes,:Native species:Yes,:Coverage area:1000 sq ft","https://naturesseed.com/wp-content/uploads/2025/07/LawnBag.png","new","no","","","","","","","","","","no","5 lb","5 lb","1 lb","","","","NS_0106","100","grass-seed","Texas","150-200","High Margin","","Home & Garden > Plants > Seeds > Seeds & Seed Tape","Lawn / Turf Seeds > Home Lawn/Yard Grass Seed","65.80 USD"
