search_term,total_spend,total_conversions,total_conv_value,roas,reason
chicken feed seed mix,55.34,2.99,150.26,2.72,off-topic: chicken feed (not seed)
organic chicken feed,45.72,0.0,0.0,0.0,off-topic: chicken feed (not seed)
chicken feed seeds,19.02,0.0,0.0,0.0,off-topic: chicken feed (not seed)
chicken feed,17.24,0.0,0.0,0.0,off-topic: chicken feed (not seed)
tractor supply pasture seed,12.07,0.0,0.0,0.0,off-topic: retail: tractor supply
organic chicken food,11.24,0.0,0.0,0.0,off-topic: chicken feed (not seed)
field peas for chicken feed,10.58,0.0,0.0,0.0,off-topic: chicken feed (not seed)
chicken feed sprouts,9.77,0.0,0.0,0.0,off-topic: chicken feed (not seed)
what to grow for chicken feed,8.27,0.0,0.0,0.0,off-topic: chicken feed (not seed)
home depot wildflower seeds,7.6,0.0,0.0,0.0,off-topic: retail: home depot
best organic chicken feed,7.4,0.0,0.0,0.0,off-topic: chicken feed (not seed)
nature smart chicken feed,7.11,0.0,0.0,0.0,off-topic: chicken feed (not seed)
bulk organic chicken feed,6.97,0.0,0.0,0.0,off-topic: chicken feed (not seed)
bulk chicken feed,6.84,0.0,0.0,0.0,off-topic: chicken feed (not seed)
nature crest chicken feed,6.7,0.0,0.0,0.0,off-topic: chicken feed (not seed)
chicken feed mix,6.63,0.0,0.0,0.0,off-topic: chicken feed (not seed)
pasture raised chicken feed,6.47,0.0,0.0,0.0,off-topic: chicken feed (not seed)
natureserve chicken feed,6.31,0.0,0.0,0.0,off-topic: chicken feed (not seed)
whole grain chicken feed,6.22,0.0,0.0,0.0,off-topic: chicken feed (not seed)
growing chicken food,6.22,0.0,0.0,0.0,off-topic: chicken food (not seed)
grain chicken feed,5.56,0.0,0.0,0.0,off-topic: chicken feed (not seed)
crops to grow for chicken feed,5.54,0.0,0.0,0.0,off-topic: chicken feed (not seed)
growing chicken feed,5.47,0.0,0.0,0.0,off-topic: chicken feed (not seed)
what is the best chicken feed for egg production,5.16,0.0,0.0,0.0,off-topic: chicken feed (not seed)
grow chicken feed,5.13,0.0,0.0,0.0,off-topic: chicken feed (not seed)
field peas for livestock feed,4.84,0.0,0.0,0.0,off-topic: livestock feed
organic bulk chicken feed,3.76,0.0,0.0,0.0,off-topic: chicken feed (not seed)
nature's best chicken feed,3.67,0.0,0.0,0.0,off-topic: chicken feed (not seed)
flax free chicken feed,3.51,0.0,0.0,0.0,off-topic: chicken feed (not seed)
plants to grow for chicken feed,3.5,0.0,0.0,0.0,off-topic: chicken feed (not seed)
pasture seed tractor supply,3.5,0.0,0.0,0.0,off-topic: retail: tractor supply
good quality chicken feed,3.39,0.0,0.0,0.0,off-topic: chicken feed (not seed)
seeds for chicken feed,3.04,0.0,0.0,0.0,off-topic: chicken feed (not seed)
